Start Date,End Date
10/29/06,5/19/07
6/10/06,7/10/07
12/15/06,6/4/09
4/9/06,8/11/06
9/26/06,1/24/07
2/6/06,2/26/06
2/26/06,1/30/07
2/23/06,3/10/07
5/31/06,11/25/08
10/15/06,6/20/10
3/20/06,12/23/06
1/19/06,2/20/07
6/16/06,10/21/10
3/6/06,12/28/06
11/21/06,2/28/07
1/19/06,9/15/06
9/14/06,11/27/06
2/26/06,7/20/07
1/30/06,2/20/06
7/4/06,8/10/06
3/28/06,4/17/07
4/5/06,3/14/10
4/30/06,3/31/07
9/1/06,3/31/07
3/18/06,9/26/07
5/7/06,11/9/09
5/3/06,6/14/06
8/20/06,1/21/07
11/28/06,3/18/08
11/10/06,9/15/09
3/13/06,12/19/06
8/29/06,5/25/08
11/16/06,3/2/07
8/26/06,11/30/07
12/27/06,3/1/08
1/6/06,3/9/06
5/18/06,8/21/06
4/29/06,12/18/09
1/23/06,11/9/07
5/16/06,6/4/07
10/1/06,10/4/07
3/6/06,12/29/06
9/28/06,10/22/06
2/14/06,5/22/06
3/1/06,4/13/06
6/17/06,9/8/10
9/13/06,5/11/09
5/16/06,8/27/08
5/11/06,11/6/07
12/24/06,10/18/11
5/9/06,8/21/06
2/6/06,9/17/06
4/30/06,3/23/08
7/7/06,2/26/09
2/17/06,9/29/08
7/19/06,2/10/10
5/28/06,11/7/08
5/17/06,9/21/06
2/21/06,1/3/08
9/20/06,11/7/06
1/3/06,1/20/08
5/12/06,3/25/08
4/30/06,1/7/08
7/5/06,6/20/07
6/12/06,2/18/07
8/27/06,10/26/08
2/28/06,3/5/07
11/26/06,11/8/08
6/25/06,12/30/06
6/17/06,6/6/09
7/23/06,11/30/08
1/23/06,4/14/07
1/4/06,8/29/06
8/23/06,1/16/10
6/17/06,10/29/06
5/1/06,9/7/06
4/29/06,8/22/07
9/5/06,9/29/06
6/12/06,11/17/07
3/13/06,7/27/07
2/22/06,12/5/06
3/8/06,1/27/08
8/15/06,4/27/07
3/18/06,5/29/07
8/3/06,10/8/08
4/19/06,5/3/07
11/14/06,4/28/09
10/31/06,7/5/08
8/13/06,1/6/09
6/5/06,11/2/07
5/9/06,9/8/07
5/7/06,9/20/06
3/8/06,8/22/07
9/27/06,11/7/07
3/22/06,9/6/06
5/18/06,2/10/07
10/2/06,4/8/07
3/21/06,2/8/08
10/16/06,3/17/07
8/9/06,2/24/07
5/1/06,10/21/06
1/18/06,3/11/07
4/26/06,8/11/06
11/5/06,7/17/07
5/12/06,9/25/06
1/21/06,4/28/06
4/3/06,8/8/07
